Area,Mapped,Number,Project,Address,City,State,Latitude,Longitude,Description,Developer_General_Contractor,Cost,Date,Status,Checked,Map Circle color
01-Medical Campus,YES,1,Wayne & Waldorf,1106-1110 Main St.,Buffalo,NY,42.9039560,-78.8690050,,Sinatra & Co.,$5.3,2015,Completed,Sinatra,#CA6266
01-Medical Campus,YES,2,Jacobs Institute,875 Ellicott St.,Buffalo,NY,42.9016180,-78.8660700,"20,800 SF medical device prototyping facility",LPCiminelli Inc.,$9.0,2015,Completed,Empire State,#CA6266
01-Medical Campus,YES,3,Conventus ,1001 Main St.,Buffalo,NY,42.9008450,-78.8687940,"300,000 SF, six-story medical office building with below ground parking. Connected to John R. Oishei Children's Hospital and UB School of Medicine","Ciminelli Real Estate Corp, LPCiminelli Inc.",$110.0,2015,Completed,"ECIDA/Ciminelli, LPCiminelli",#CA6266
01-Medical Campus,YES,4,Roswell Center for Genetics & Pharmacology,Roswell Park Cancer Institute,Buffalo,NY,42.8991990,-78.8647400,Medical R&D,Roswell Park Cancer Institute,$74.0,2014,Completed,,#CA6266
01-Medical Campus,YES,5,Roswell Park Scott Bieler Clinical Sciences Center,Roswell Park Cancer Institute,Buffalo,NY,42.8991990,-78.8647400,"142,000 SF, 11-story clinical sciences center with chemo-infusion center",LeChase Construction Services LLC,$50.5,2016,Completed,Roswell,#CA6266
01-Medical Campus,YES,6,Bosche Lofts,916 Main St.,Buffalo,NY,42.8988490,-78.8705000,"23 apartments, first floor retail; renovation of 1891 buildings",Greenleaf Development,$6.2,2016,Completed,Mayor,#CA6266
01-Medical Campus,YES,7,Genomic Medicine and Big Data Center Capital,701 Ellicott St.,Buffalo,NY,42.8977650,-78.8666410,Machinery and equipment ,,$32.5,2015,Completed,NYS,#CA6266
01-Medical Campus,YES,8,EWI New York,847 Main St.,Buffalo,NY,42.8973080,-78.8701410,Buffalo Niagara Institute for advanced manufacturing competitiveness,,$5.3,2015,Completed,NYS,#CA6266
01-Medical Campus,YES,9,UB Educational Opportunity Center,555 Ellicott Street,Buffalo,NY,42.8940800,-78.8687920,"75,000 SF building for training in health sciences, information technology and environmental industries",Savarino Cos.,$26.0,2013,Completed,Bricks 2014,#CA6266
01-Medical Campus,YES,10,1154 Main,1154 Main St.,Buffalo,NY,42.9054430,-78.8689340,,,$25.0,2018,Under,Jim,#009770
01-Medical Campus,YES,11,Our Lady of Lourdes church,1115 Main St.,Buffalo,NY,42.9037670,-78.8677950,"Conversion of church into residential, office use",Ellicott Development Co.,$15.0,2017,Under,Jim,#009770
01-Medical Campus,YES,12,Pilgrim Village,903 Ellicott St.,Buffalo,NY,42.9030710,-78.8650890,165 senior and market rate units,Mark Trammell,$94.8,2017,Under,Jim,#009770
01-Medical Campus,YES,13,Campus Square,901 Ellicott St.,Buffalo,NY,42.9028970,-78.8663610,"400,000 SF, 8-story building, 152 apartments, 31,000 SF of retail space","McGuire Development Co., R&P Oak Hill, Mark Trammell",$70.0,2018,Under,McGuire,#009770
01-Medical Campus,YES,14,Nineteen North,23 North St.,Buffalo,NY,42.9025160,-78.8700400,Conversion of WEBR/WNED studios into 40-unit apartment building,First Amherst Development Group,$7.0,2016,Under,Jim,#009770
01-Medical Campus,YES,15,Ellicott Street Parking Structure,854 Ellicott St.,Buffalo,NY,42.9017490,-78.8674570,"640,000 SF parking structure","LeChase Construction Services LLC, BNMC Inc.",$53.5,2017,Under,"BNMC, ECIDA",#009770
01-Medical Campus,YES,16,John R. Oishei Children's Hospital,818 Ellicott St.,Buffalo,NY,42.9010390,-78.8674080,"12-story, 400,000 SF women and children's hospital","Turner Construction Co., Kaleida Health",$272.0,2017,Under,"Mayor, Tracey",#009770
01-Medical Campus,YES,17,Oshei  Children's Hospital Ambulatory Care Center,1001 Main Street,Buffalo,NY,42.9010390,-78.8674080,Relocate Women & Children's outpatient clinics from 219 Bryant to 1001 Main St.,"LPCiminelli Inc., Kaleida Health",$18.1,2017,Under,Kaleida,#009770
01-Medical Campus,YES,18,AMRI,1001 Main Street,Buffalo,,42.9008450,-78.8687940,Establish $250M pharmaceutical research and development facility known as Buffalo Medical Innovation and Commercialization Hub (BMIC HUB),"Fort Schuyler Development Corp., Ciminelli Real Estate",$30.0,2016,Under,Mayor,#009770
01-Medical Campus,YES,19,Jacobs University of Buffalo School of Medicine & Biomedical Sciences,Main and High streets,Buffalo,NY,42.9000790,-78.8690530,"8-story, 650,000 SF complex fo medical education, biomedical research and patient care",LPCiminelli Inc.,$375.0,2017,Under,"LPCiminelli Inc., Dan (amount)",#009770
01-Medical Campus,YES,20,Roswell Park Substation Modernization,Roswell Park Cancer Institute,Buffalo,NY,42.8991990,-78.8647400,Upgrade of electrical substation equipment to include new transformers and switchgear,,$7.0,2021,Under,Roswell,#009770
01-Medical Campus,YES,21,Roswell Park Pediatric Clinic,Roswell Park Cancer Institute,Buffalo,NY,42.8991990,-78.8647400,"Katherine, Anne and Donna Gioia Pediatric Hematology Oncology Center pediatric clinic on ground floor of hospital",,$5.7,2017,Under,Roswell,#009770
01-Medical Campus,YES,22,BNMC Smart Pill building,847 Main St.,Buffalo,NY,42.8973080,-78.8701410,Tenant space for startup and small companies,Krog Corp.,$8.0,2018,Under,Empire State,#009770
01-Medical Campus,YES,23,Phoenix Brewery Apartments,835 Washington St.,Buffalo,NY,42.8965440,-78.8693740,"31 apartments, commercial/retail space, underground parking",Sinatra & Co.,$7.7,2016,Under,Sinatra,#009770
01-Medical Campus,YES,24,BNMC Tunnel,640 Ellicott St.,Buffalo,NY,42.8958670,-78.8693300,Underground tunnel to connect Buffalo General Medical Center with new children's hospital,Turner Construction,$5.0,2016,Under,Empire State,#009770
01-Medical Campus,YES,25,Trico Building Redevelopment,791 Washington St.,Buffalo,NY,42.8954100,-78.8695030,"479,000 SF re-use mixed-use complex with hospitality, commercial, residential, public high school, parking",The Krog Group,$90.0,2018,Under,Krog,#009770
01-Medical Campus,YES,26,Salvation Army/EPIC buildings,954 Main St.,Buffalo,NY,42.9003120,-78.8702380,"Mixed used, medical offices",Ciminelli Real Estate Corp.,$90.0,2018,Z-Proposed,BUDC,#53578F
01-Medical Campus,YES,27,33 High Street,33 High St.,Buffalo,NY,42.9001240,-78.8681030,TBD,Ciminelli Real Estate Corp.,$119.0,2018,Z-Proposed,Ciminelli Real Estate Corp.,#53578F
01-Medical Campus,YES,28,201 Ellicott Street,201 Ellicott St.,Buffalo,NY,42.8843660,-78.8717430,Residential/mixed use complex,"Ciminelli Real Estate Corp., LPCiminelli Inc., Cannon Design",$78.0,2018,Z-Proposed,Ciminelli Real Estate Corp.,#53578F
02-Central Business,YES,1,Buffalo Club,388 Delaware Ave.,Buffalo,NY,42.8950120,-78.8762070,"Expansion for locker rooms, meeting space, fitness space, guest rooms and pool renovations","HHL Architects, Lehigh Construction",$9.0,2014,Completed,HHL Architects,#CA6266
02-Central Business,YES,2,Evergreen Lofts,392 Genesee St.,Buffalo,NY,42.8936680,-78.8608480,"Renovate vacant industrial building into 56 apartments for low-income, at risk residents",LPCiminelli Inc.,$16.5,2016,Completed,Tracey,#CA6266
02-Central Business,YES,3,250 Delaware,250 Delaware Ave.,Buffalo,NY,42.8911050,-78.8769630,"Construction of 330,000 SF, 12-story mixed use building, 5-level parking ramp for Delaware North and Westin Hotel",Uniland Development Co.,$117.0,2016,Completed,ECIDA.Uniland,#CA6266
02-Central Business,YES,4,Evergreen Health Services,166 W. Chippewa St.,Buffalo,NY,42.8909000,-78.8790390,"33,000 SF expansion ",LPCiminelli Inc.,$12.1,2016,Completed,"Tracey, LPCiminelli",#CA6266
02-Central Business,YES,5,Catholic Health headquarters,144 Genesee St.,Buffalo,NY,42.8908160,-78.8681440,"140,000 SF headquarters and training center","Uniland Development Co., Stieglitz Snyder Architecture",$46.0,2015,Completed,"ECIDA, Jim",#CA6266
02-Central Business,YES,6,Genesee Gateway,109 E. Genesee St.,Buffalo,NY,42.8895490,-78.8697030,"Offices, restaurant, apartments","Doug Swift, Bill Jones",$13.0,2013,Completed,"Jim, mayor",#CA6266
02-Central Business,YES,7,Hyatt Regency Buffalo,2 Fountain Plaza,Buffalo,NY,42.8879850,-78.8742680,Renovations of 396 rooms and penthouse addition,,$13.0,2014,Completed,Jim,#CA6266
02-Central Business,YES,8,"Sinclair, The",465 Washington St.,Buffalo,NY,42.8867580,-78.8724840,"Renovation of 86,000 SF building into 45 apartments, mixed use","Ciminelli Real Estate Corp., SM Hayes",$15.0,2016,Completed,"Jim, Ciminelli Real Estate",#CA6266
02-Central Business,YES,9,"Antonio, The Phase 2",456 Main St.,Buffalo,NY,42.8865540,-78.8747420,Mixed use redevelopment,Ellicott Development,$11.3,2014,Completed,Mayor,#CA6266
02-Central Business,YES,10,10 Lafayette Building,Lafayette Square,Buffalo,NY,42.8860410,-78.8736770,"124- room Hilton Garden Inn, 24 apartments, offices for Hamister Group LLC; renovation of Tishman Building","R&P OakHill, Hamister Group LLC, Carmina Woods Morris",$42.0,2014,Completed,Bricks 2015,#CA6266
02-Central Business,YES,11,50 Court ,50 Court St.,Buffalo,NY,42.8857430,-78.8763050,Mixed use,Ellicott Development,$30.0,2015,Completed,ECIDA,#CA6266
02-Central Business,YES,12,Compass East,425 Michigan Ave.,Buffalo,NY,42.8834120,-78.8660990,Renovation of former hospital into Class A and STEM facility,"McGuire Development Co., R&P Oak Hill, Carmina Woods",$20.0,2014,Completed,ECIDA/McGuire,#CA6266
02-Central Business,YES,13,ECC City Campus,121 Ellicott St.,Buffalo,NY,42.8817700,-78.8726090,Exterior refurbishment of main building,Picone Construction,$10.0,2013,Completed,Bricks 2014,#CA6266
02-Central Business,YES,14,Lofts at Pearl,90-92 Pearl St.,Buffalo,NY,42.8814990,-78.8772990,"Webb Building, boutique hotel","Earl Ketry, Rocco Termini",$13.0,2013,Completed,Jim,#CA6266
02-Central Business,YES,15,Apartments @ The Hub,149 Swan St.,Buffalo,NY,42.8805810,-78.8700190,"80,000 SF historic adaptive mixed reuse","Schneider Development LLC, R&P Oak Hill",$14.0,2014,Completed,Bricks 2015,#CA6266
02-Central Business,YES,16,IBM Buffalo Innovation Center,Key Towers,Buffalo,NY,42.8898220,-78.8736230,Technology center,"McGuire Development Co., Fort Schuyler Management Corp.",$55.0,2016,Under,"Jim, Empire State Dev",#009770
02-Central Business,YES,17,Curtiss Building,204-216 Franklin St.,Buffalo,NY,42.8893730,-78.8755510,"Renovation of office building into hotel, restaurant ",Mark Croce,$20.0,2016,Under,"ECIDA, Jim",#009770
02-Central Business,YES,18,Cars Sharing Main Street,Main Street,Buffalo,NY,42.8877860,-78.8736340,Returning two-lanes of vehicular traffic to downtown Main Street,"NFTA, Mark Cerrone Inc.",$43.3,2018,Under,Jim,#009770
02-Central Business,YES,19,AM&As flagship store,377 Main St.,Buffalo,NY,42.8845360,-78.8741840,"Repurpose 400,000 SF department store into 350-room Wyndham Hotel",Landco H&L ,$70.0,2017,Under,Jim,#009770
02-Central Business,YES,20,M&T Bank,"Main Street, ",Buffalo,NY,42.8837530,-78.8742990,Building upgrades at 12 M&T facilities totaling 1.5 million SF ,M&T Bank,$100.0,2017,Under,Allissa,#009770
02-Central Business,YES,21,"Glenny, The",251 Main St.,Buffalo,NY,42.8811170,-78.8752910,"Renovation of 46,000 Sf building into apartments, offices","Paul Kolkmeyer, Andrew Shaevel, Ronald Toski",$9.0,2016,Under,Jim,#009770
02-Central Business,YES,22,Marin Building,237 Main St.,Buffalo,NY,42.8807180,-78.8756520,"36 apartments, offices, 50 condos, boutique hotel, banquet center","Paul Kolkmeyer, Andrew Shaevel, Ronald Toski",$27.0,2016,Under,Jim,#009770
02-Central Business,YES,23,Buffalo Christian Center,512 Pearl St.,Buffalo,NY,42.8934380,-78.8733860,"Repurpose building including construction of 12-story, 300,000 SF  tower",Ellicott Development Co.,$75.0,2018,Z-Proposed,Jim,#53578F
02-Central Business,YES,24,Uniland spec building,505 Ellicott St.,Buffalo,NY,42.8921810,-78.8694990,Renovation of Frey the Wheelman building,Uniland Development Co.,$13.0,2017,Z-Proposed,Jim/Uniland,#53578F
02-Central Business,YES,25,Market Arcade Cinemas,639 Main St.,Buffalo,NY,42.8911680,-78.8719800,Renovation of eight-screen theater,"Benchmark Group, AMC Theaters",$9.0,2018,Z-Proposed,Jim,#53578F
